FIPS,AverageHousePrice,CountyName,StateName,UnemploymentRate,NumberOfSchools,NumberOfHospitals,AverageHospitalRating
1001,114483.6653,Autauga,Alabama,3.6,15,1,4
1003,164861.6858,Baldwin,Alabama,3.6,47,4,3
1005,NA,Barbour,Alabama,5.3,11,1,3
1007,NA,Bibb,Alabama,4,10,1,NA
1013,NA,Butler,Alabama,4.8,8,2,3
1015,NA,Calhoun,Alabama,4.7,40,4,2.666666667
1019,NA,Cherokee,Alabama,3.7,8,1,4
1025,NA,Clarke,Alabama,7.6,11,2,3
1027,NA,Clay,Alabama,4,8,1,3
1031,NA,Coffee,Alabama,4,19,1,3
1033,92332.05128,Colbert,Alabama,4.7,27,2,2.5
1039,NA,Covington,Alabama,4.7,15,3,2.5
1041,NA,Crenshaw,Alabama,4.1,4,2,3
1043,NA,Cullman,Alabama,3.3,36,2,3
1045,NA,Dale,Alabama,4.2,18,1,4
1049,98315.49296,De Kalb,Alabama,3.8,20,1,3
1051,125561.3734,Elmore,Alabama,3.4,20,2,3.4
1053,NA,Escambia,Alabama,4.6,18,2,4
1055,77994.25287,Etowah,Alabama,4.1,45,4,2.75
1059,NA,Franklin,Alabama,3.8,13,2,3
1061,NA,Geneva,Alabama,3.9,12,1,3
1065,NA,Hale,Alabama,5.1,8,1,NA
1069,114940.9962,Houston,Alabama,4.1,31,5,3.5
1071,104431.9149,Jackson,Alabama,4.1,25,1,3
1073,99759.77011,Jefferson,Alabama,3.7,226,14,2.75
1077,96148.57143,Lauderdale,Alabama,4.2,22,1,2
1079,NA,Lawrence,Alabama,4.2,16,1,4
1081,148163.2184,Lee,Alabama,3.6,37,1,4
1083,NA,Limestone,Alabama,3.5,21,2,2
1089,NA,Madison,Alabama,3.5,91,7,3
1091,NA,Marengo,Alabama,5.1,14,1,3
1093,NA,Marion,Alabama,4.1,14,2,3
1095,NA,Marshall,Alabama,3.4,35,2,3
1097,93971.64751,Mobile,Alabama,4.7,121,7,2
1099,72273.94636,Monroe,Alabama,6.3,10,1,3
1101,NA,Montgomery,Alabama,4,76,8,4
1107,NA,Pickens,Alabama,4.6,10,1,3
1109,NA,Pike,Alabama,4.5,11,1,3
1111,NA,Randolph,Alabama,4,11,1,4
1113,103098.4674,Russell,Alabama,4.1,19,2,4
1117,164133.3333,Shelby,Alabama,2.9,53,3,3
1121,NA,Talladega,Alabama,4.3,36,2,3
1123,110576.9231,Tallapoosa,Alabama,4.2,13,2,3
1127,NA,Walker,Alabama,4.3,29,1,3
1129,NA,Washington,Alabama,6,8,1,NA
1133,NA,Winston,Alabama,4.2,14,1,5
2020,250916.309,Anchorage,Alaska,5.6,100,9,3
2090,197946.7811,Fairbanks North Star,Alaska,6,37,3,3
2110,274259.8361,Juneau,Alaska,4.6,14,1,3
2122,210048.4211,Kenai Peninsula,Alaska,7.8,44,3,3
2130,223292.3372,Ketchikan Gateway,Alaska,6.2,11,1,3
2170,NA,Matanuska Susitna,Alaska,7.9,44,1,3
2220,NA,Sitka,Alaska,4.3,7,2,NA
2261,NA,Valdez Cordova,Alaska,8,17,3,NA
4001,136755.9441,Apache,Arizona,10.1,65,4,3
4003,124720.3065,Cochise,Arizona,5.6,84,8,1
4005,241994.636,Coconino,Arizona,5.4,75,4,4
4007,146740.9962,Gila,Arizona,5.7,38,4,3
4009,114949.4253,Graham,Arizona,5.1,37,1,3
4013,178057.0881,Maricopa,Arizona,4.1,1246,73,3.047619048
4015,144750.9579,Mohave,Arizona,5.7,70,5,2.25
4017,146158.6207,Navajo,Arizona,7.4,91,6,NA
4019,155807.2797,Pima,Arizona,4.4,386,21,2
4021,142070.5179,Pinal,Arizona,4.9,143,6,3
4025,199438.6973,Yavapai,Arizona,4.4,107,5,3
4027,117031.4176,Yuma,Arizona,16.9,72,2,2
5001,NA,Arkansas,Arkansas,3.5,9,2,4
5003,NA,Ashley,Arkansas,5.5,8,1,3
5005,102860.9195,Baxter,Arkansas,4.1,10,1,3
5007,121924.9042,Benton,Arkansas,2.8,68,6,3.5
5009,89286.97318,Boone,Arkansas,3.6,20,1,3
5011,NA,Bradley,Arkansas,4.4,7,1,4
5015,NA,Carroll,Arkansas,3.2,10,2,3
5021,NA,Clay,Arkansas,4.5,7,1,NA
5027,NA,Columbia,Arkansas,4.8,9,1,2
5031,94221.83908,Craighead,Arkansas,3,36,6,3
5037,NA,Cross,Arkansas,4.1,6,1,4
5043,NA,Drew,Arkansas,4.9,8,1,3
5045,108660.9195,Faulkner,Arkansas,3.2,39,2,3
5047,NA,Franklin,Arkansas,3.6,10,2,NA
5049,NA,Fulton,Arkansas,4,6,1,2
5051,115008.046,Garland,Arkansas,4.1,30,6,2
5055,81437.93103,Greene,Arkansas,3.5,15,1,2
5061,NA,Howard,Arkansas,3.4,10,2,3
5063,71191.57088,Independence,Arkansas,4.1,15,1,2
5069,68753.84615,Jefferson,Arkansas,5.3,29,2,2
5071,NA,Johnson,Arkansas,4.5,12,1,3
5075,NA,Lawrence,Arkansas,4,12,1,3
5081,NA,Little River,Arkansas,5.2,7,1,NA
5083,NA,Logan,Arkansas,4,11,2,NA
5093,NA,Mississippi,Arkansas,5.6,25,2,2
5109,NA,Pike,Arkansas,4.1,7,1,3
5113,86918.18182,Polk,Arkansas,4.2,9,1,3
5119,104294.636,Pulaski,Arkansas,3.4,131,21,2.666666667
5123,NA,Saint Francis,Arkansas,5.2,12,1,2
5125,116624.9042,Saline,Arkansas,3.1,28,2,3
5127,NA,Scott,Arkansas,3.6,6,1,NA
5131,93884.67433,Sebastian,Arkansas,3.6,40,7,2.5
5137,NA,Stone,Arkansas,4.6,7,1,3
5141,66378.9272,Van Buren,Arkansas,5.2,8,1,3
5143,128081.2261,Washington,Arkansas,2.6,64,10,3
5149,NA,Yell,Arkansas,4.2,11,2,3
6001,471302.682,Alameda,California,3,400,27,2.5
6005,224845.2107,Amador,California,3.9,17,1,2
6007,197437.931,Butte,California,4.9,101,7,2.333333333
6013,398249.0421,Contra Costa,California,3.1,270,12,2
6015,164258.5774,Del Norte,California,5.6,21,1,2
6017,311345.5939,El Dorado,California,3.6,69,3,3
6019,169162.4521,Fresno,California,7.4,350,15,2
6021,179603.7267,Glenn,California,6.5,26,1,NA
6023,217380.0766,Humboldt,California,3.6,93,6,3
6025,149809.9617,Imperial,California,17.5,72,2,2
6027,246674.477,Inyo,California,3.9,30,2,NA
6029,148808.8123,Kern,California,8,271,15,1.8
6031,143448.2759,Kings,California,7.8,67,4,2.5
6033,177877.3946,Lake,California,5.1,43,2,3
6035,145078.5441,Lassen,California,4.8,31,1,4
6037,374740.613,Los Angeles,California,4.7,2277,131,2.775
6039,176903.8314,Madera,California,7,81,2,2
6041,707818.3908,Marin,California,2.3,79,4,3.5
6043,225658.1498,Mariposa,California,5.4,16,1,NA
6045,285385.0575,Mendocino,California,3.9,74,3,3.5
6047,NA,Merced,California,8.1,113,3,3
6049,NA,Modoc,California,7.3,15,2,NA
6051,342059.8326,Mono,California,3.6,18,1,NA
6053,391807.2797,Monterey,California,6.4,147,4,3.333333333
6057,326322.6054,Nevada,California,3.5,55,2,3
6059,480765.9004,Orange,California,2.9,615,41,2.75
6061,330571.2644,Placer,California,3.2,120,4,4
6063,259608.9005,Plumas,California,7.6,15,3,3
6065,252723.7548,Riverside,California,4.3,506,24,2.272727273
6067,234401.9157,Sacramento,California,3.8,380,19,3
6069,335359.387,San Benito,California,5.1,23,2,2
6071,214208.046,San Bernardino,California,4,556,32,2.583333333
6073,378364.751,San Diego,California,3.3,763,37,3.333333333
6075,691017.2414,San Francisco,California,2.4,134,18,3
6077,226098.4674,San Joaquin,California,5.9,239,10,2.4
6079,409974.7126,San Luis Obispo,California,2.9,84,6,3.333333333
6081,667807.2797,San Mateo,California,2.2,179,11,3.25
6083,442957.0881,Santa Barbara,California,3.9,124,9,3.75
6085,617061.3027,Santa Clara,California,2.6,422,17,2.666666667
6087,520674.7126,Santa Cruz,California,4.8,81,5,3
6089,182344.4444,Shasta,California,4.9,102,7,4
6093,156492.1348,Siskiyou,California,6.5,58,2,3
6095,281056.705,Solano,California,3.9,107,7,3
6097,403252.4904,Sonoma,California,2.7,191,12,3.25
6099,196717.2414,Stanislaus,California,6.4,190,12,2
6105,NA,Trinity,California,5.3,23,1,NA
6107,143585.8238,Tulare,California,9.5,197,7,2.5
6111,409491.954,Ventura,California,3.8,233,13,3
6113,290204.9808,Yolo,California,4.2,65,2,3.5
